STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/1/2020,0.13,,,62,52,59,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/2/2020,0.51,,,66,59,60,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/3/2020,0.01,,,73,53,54,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/4/2020,0,,,69,42,50,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/5/2020,0,,,73,44,54,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/6/2020,0,,,75,51,57,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/7/2020,0,,,65,41,42,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/8/2020,0,,,68,38,63,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/9/2020,0,,,74,62,69,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/10/2020,0,,,74,69,69,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/11/2020,1.48,,,69,42,42,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/12/2020,0,,,59,38,54,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/13/2020,0.61,,,68,54,68,1,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/14/2020,0.01,,,78,68,69,1,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/15/2020,0,,,78,69,69,1,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/16/2020,0,,,71,65,65,1,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/17/2020,0.07,,,69,63,68,1,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/18/2020,0.6,,,74,60,60,,1
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/19/2020,0,,,60,46,46,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/20/2020,0,,,60,41,44,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/21/2020,0,,,56,39,51,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/22/2020,0.69,,,61,46,60,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/23/2020,1.04,,,65,47,48,,1
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/24/2020,0,,,68,42,48,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/25/2020,0,,,65,46,63,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/26/2020,0.41,,,74,56,58,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/27/2020,0,,,62,55,57,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/28/2020,0.52,,,65,53,53,1,1
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/29/2020,0,,,56,46,50,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/30/2020,0,,,56,49,53,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",1/31/2020,0,,,60,45,45,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/1/2020,0,,,68,41,52,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/2/2020,0,,,76,48,60,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/3/2020,0,,,72,59,68,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/4/2020,0,,,75,68,69,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/5/2020,0,,,69,42,42,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/6/2020,0,,,52,36,39,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/7/2020,0,,,72,34,53,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/8/2020,0,,,69,51,62,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/9/2020,0.01,,,72,62,69,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/10/2020,0.04,,,75,62,62,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/11/2020,0.05,,,62,53,57,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/12/2020,0.41,,,69,52,53,1,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/13/2020,0,,,57,46,46,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/14/2020,0,,,57,42,44,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/15/2020,0,,,64,44,61,1,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/16/2020,0,,,72,58,61,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/17/2020,0.01,,,76,61,69,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/18/2020,0,,,76,65,65,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/19/2020,0,,,65,54,54,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/20/2020,0.16,,,54,45,45,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/21/2020,0,,,56,41,42,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/22/2020,0,,,60,39,49,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/23/2020,0,,,68,48,64,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/24/2020,0.95,,,71,57,57,,1
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/25/2020,0,,,73,53,58,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/26/2020,0,,,58,43,43,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/27/2020,0,,,59,34,44,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/28/2020,0,,,72,39,52,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",2/29/2020,0,,,72,46,60,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/1/2020,0,,,71,60,66,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/2/2020,0,,,77,66,68,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/3/2020,0,,,77,67,68,1,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/4/2020,0.04,,,80,59,59,1,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/5/2020,0,,,73,54,54,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/6/2020,0,,,71,49,49,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/7/2020,0,,,62,46,54,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/8/2020,0,,,71,50,63,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/9/2020,0.01,,,73,63,67,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/10/2020,0,,,80,65,65,1,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/11/2020,0,,,70,64,69,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/12/2020,0,,,79,68,70,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/13/2020,0,,,79,69,71,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/14/2020,0,,,80,70,70,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/15/2020,0,,,79,66,66,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/16/2020,0.06,,,74,63,69,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/17/2020,0.02,,,81,69,72,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/18/2020,0,,,80,70,73,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/19/2020,0,,,81,72,74,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/20/2020,0.01,,,83,61,61,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/21/2020,0.12,,,64,58,63,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/22/2020,0.09,,,80,61,73,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/23/2020,0.01,,,87,72,72,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/24/2020,0,,,90,69,70,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/25/2020,0,,,92,69,71,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/26/2020,0,,,88,67,71,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/27/2020,0,,,89,71,75,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/28/2020,0.01,,,84,64,64,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/29/2020,0,,,83,53,71,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/30/2020,0,,,87,68,74,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3/31/2020,0,,,85,57,57,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/1/2020,0,,,75,50,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/2/2020,0,0,0,77,63,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/4/2020,1.41,,,72,51,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/5/2020,0,,,74,61,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/6/2020,0.1,,,75,64,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/7/2020,0.02,,,85,73,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/8/2020,0,,,87,74,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/9/2020,0.08,,,90,70,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/10/2020,0,,,75,67,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/11/2020,0,,,77,66,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/12/2020,0.01,,,92,63,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/13/2020,0,,,71,53,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/14/2020,0,,,71,50,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/15/2020,0,,,70,50,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/16/2020,0,0,0,73,53,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/17/2020,0.02,0,0,81,67,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/18/2020,0.52,0,0,72,64,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/19/2020,0.07,0,0,82,72,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/20/2020,0,0,0,80,66,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/21/2020,0,0,0,83,68,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/22/2020,0,0,0,81,73,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/23/2020,0,0,0,89,64,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/24/2020,0,0,0,85,62,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/25/2020,0.04,0,0,83,66,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/26/2020,0,0,0,83,62,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/27/2020,0,0,0,82,60,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/28/2020,0.03,0,0,81,74,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/29/2020,1.02,0,0,83,61,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",4/30/2020,0,0,0,85,55,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/1/2020,0,0,0,81,61,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/2/2020,0,0,0,83,65,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/3/2020,0,,0,84,73,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/4/2020,0,,0,86,72,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/5/2020,0.05,0,0,90,72,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/6/2020,0.28,0,0,84,64,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/7/2020,0,0,0,84,61,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/8/2020,0.01,0,0,90,71,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/9/2020,0,0,0,72,63,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/10/2020,0,0,0,80,62,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/11/2020,0,,,82,63,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/12/2020,0.03,,,83,70,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/13/2020,0.17,,,86,72,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/14/2020,0.61,,,86,73,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/15/2020,5.69,,,86,67,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/16/2020,1.19,,,86,66,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/17/2020,0,0,0,89,67,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/18/2020,0,0,0,92,68,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/19/2020,0,0,0,91,71,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/20/2020,0,0,0,89,77,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/21/2020,0,0,0,88,74,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/22/2020,0,0,0,89,77,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/23/2020,0,0,0,88,80,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/24/2020,0.8,0,0,87,67,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/25/2020,0.79,0,0,86,67,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/26/2020,0.18,0,0,87,61,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/27/2020,1.07,0,0,89,66,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/28/2020,0.41,0,0,87,67,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/29/2020,0,0,0,88,72,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/30/2020,0,0,0,88,73,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",5/31/2020,0.33,0,0,82,73,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/1/2020,0.01,0,0,87,74,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/2/2020,0,0,0,89,74,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/3/2020,1.12,0,0,86,75,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/4/2020,0,0,0,86,75,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/5/2020,0,0,0,91,74,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/6/2020,0,0,0,94,75,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/7/2020,0,0,0,94,77,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/8/2020,0,0,0,92,78,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/9/2020,0,0,0,92,81,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/10/2020,0,0,0,93,71,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/11/2020,0,0,0,90,67,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/12/2020,0,,,89,71,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/13/2020,0,0,0,90,70,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/14/2020,0,0,0,90,70,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/15/2020,0,0,,90,75,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/16/2020,0,0,,91,73,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/17/2020,0,0,,90,71,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/18/2020,0,,,90,73,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/19/2020,0,,,90,73,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/20/2020,1.07,,,90,73,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/21/2020,0,,,89,76,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/22/2020,1.84,0,0,87,70,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/23/2020,0.13,0,0,88,73,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/24/2020,1.71,0,0,86,71,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/25/2020,1.91,0,0,86,75,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/26/2020,0,0,0,86,79,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/27/2020,0,,0,89,79,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/28/2020,0.03,0,0,90,81,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/29/2020,0.02,0,0,89,82,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",6/30/2020,0,0,0,91,82,,,
USC00414333,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",7/1/2020,0,0,0,91,82,,,
